日期/时间,开盘价,最高价,最低价,收盘价,总手,持仓/成交额,结算/均价
2007-01-15 00:00:00,1881.47,1986.54,1881.47,1986.54,3881263104,23710425088,0.00
2007-01-22 00:00:00,2183.44,2259.03,2183.44,2258.99,6358920192,40928366592,0.00
2007-01-29 00:00:00,2201.59,2261.24,2201.59,2260.60,4564666368,30788163584,0.00
2007-02-05 00:00:00,2122.37,2166.09,2118.87,2152.25,3013411072,20119478272,0.00
2007-02-12 00:00:00,2291.66,2341.07,2291.66,2341.07,3618835200,25013026816,0.00
2007-02-26 00:00:00,2557.25,2642.11,2532.10,2642.11,4896308224,36442927104,0.00
2007-03-05 00:00:00,2508.39,2548.25,2419.29,2511.92,4953597952,36388110336,0.00
2007-03-12 00:00:00,2639.89,2696.87,2610.40,2696.50,5136709120,39729102848,0.00
2007-03-19 00:00:00,2623.74,2760.09,2609.31,2751.48,4764987904,38729125888,0.00
2007-03-26 00:00:00,2915.05,2989.05,2915.05,2989.05,5673677312,48797437952,0.00
2007-04-02 00:00:00,2935.21,2993.63,2932.64,2993.63,3767358720,34371207168,0.00
2007-04-09 00:00:00,3201.15,3243.88,3201.15,3240.30,6214375424,59855679488,0.00
2007-04-16 00:00:00,3362.73,3458.07,3362.73,3458.07,6039685632,62079348736,0.00
2007-04-23 00:00:00,3667.55,3784.08,3667.55,3782.26,7372002816,82859474944,0.00
2007-04-30 00:00:00,3831.55,3909.04,3809.97,3903.69,6557114880,76728360960,0.00
2007-05-14 00:00:00,4051.84,4164.81,4014.56,4133.83,5875138048,74274349056,0.00
2007-05-21 00:00:00,4089.85,4364.16,4076.52,4364.16,7162174464,92849504256,0.00
2007-05-28 00:00:00,4707.69,4784.43,4700.62,4761.70,8115643392,115289563136,0.00
2007-06-04 00:00:00,3901.79,3930.34,3615.11,3618.69,4516643328,52872597504,0.00
2007-06-11 00:00:00,4057.17,4117.25,4056.82,4104.55,6173008896,75960467456,0.00
2007-06-18 00:00:00,4400.40,4454.78,4400.40,4439.19,5788576768,77232791552,0.00
2007-06-25 00:00:00,4139.28,4184.33,3824.89,3851.94,4765213696,58112618496,0.00
2007-07-02 00:00:00,3571.72,3658.14,3489.12,3644.79,3350486784,34644471808,0.00
2007-07-09 00:00:00,3627.98,3737.69,3603.51,3711.71,4151975424,43718393856,0.00
2007-07-16 00:00:00,3654.86,3662.36,3532.06,3532.06,2084593536,22344038400,0.00
2007-07-23 00:00:00,3813.98,3984.79,3813.98,3984.79,5043356160,55838076928,0.00
2007-07-30 00:00:00,4279.04,4386.29,4277.83,4353.09,5300965376,64827904000,0.00
2007-08-06 00:00:00,4446.21,4504.66,4418.26,4504.34,5475012096,70459498496,0.00
2007-08-13 00:00:00,4343.73,4350.35,4257.38,4329.77,4050241792,50191212544,0.00
2007-08-20 00:00:00,4475.40,4570.57,4468.85,4570.57,4557650432,56270753792,0.00
2007-08-27 00:00:00,4802.43,4822.02,4680.10,4724.54,5224181760,68668493824,0.00
2007-09-03 00:00:00,4941.98,5023.52,4941.98,5008.83,6463971840,84427005952,0.00
2007-09-10 00:00:00,4881.12,5038.95,4834.32,5038.94,4922455552,66787184640,0.00
2007-09-17 00:00:00,4926.84,5052.76,4919.70,5047.60,5251173376,69846130688,0.00
2007-09-24 00:00:00,5040.30,5080.56,4974.56,5054.73,3962657792,55022108672,0.00
2007-10-08 00:00:00,5169.23,5178.60,5084.66,5088.60,3625830912,54086033408,0.00
2007-10-15 00:00:00,4896.83,4905.59,4774.24,4890.60,3424587520,52054306816,0.00
2007-10-22 00:00:00,4775.68,4812.22,4686.09,4688.29,2335567616,33045567488,0.00
2007-10-29 00:00:00,4251.17,4289.23,4211.15,4288.79,1808084608,23193128960,0.00
2007-11-05 00:00:00,4306.73,4396.04,4279.02,4361.87,1747105152,22482526208,0.00
2007-11-12 00:00:00,4090.91,4119.08,3996.16,4098.56,1725797376,20761739264,0.00
2007-11-20 00:00:00,4305.54,4389.15,4285.99,4371.68,1906283520,24348987392,0.00
2007-11-27 00:00:00,4130.10,4173.19,4102.01,4108.95,1199554816,15586626560,0.00
2007-12-04 00:00:00,4174.79,4209.04,4174.79,4194.02,1396754304,17243922432,0.00
2007-12-11 00:00:00,4495.50,4535.15,4464.24,4534.94,2910164480,36559593472,0.00
2007-12-18 00:00:00,4489.42,4531.26,4453.77,4467.81,1789208320,22403534848,0.00
2007-12-25 00:00:00,4780.47,4820.43,4755.01,4815.21,2855699712,39091380224,0.00
2008-01-03 00:00:00,5129.05,5241.55,5110.53,5230.75,4198748416,61752733696,0.00
2008-01-10 00:00:00,5372.82,5438.31,5354.86,5382.33,4084967680,62964596736,0.00
2008-01-17 00:00:00,5380.82,5467.13,5106.92,5270.96,4293508864,65264971776,0.00
2008-01-24 00:00:00,4951.38,5116.49,4915.97,5080.93,4278003712,62469664768,0.00
2008-01-31 00:00:00,4839.40,4868.31,4661.59,4663.41,1856793472,25737684992,0.00
2008-02-14 00:00:00,4842.94,4929.77,4842.94,4907.52,1591121024,22401556480,0.00
2008-02-21 00:00:00,5068.03,5184.15,5022.65,5153.60,3155457792,45714616320,0.00
2008-02-28 00:00:00,4986.44,5045.11,4935.30,4989.41,2411761408,34217373696,0.00
2008-03-06 00:00:00,5229.78,5296.26,5220.36,5223.82,4475802112,61389836288,0.00
2008-03-13 00:00:00,4829.24,4844.18,4589.51,4688.68,2592477696,34594934784,0.00
2008-03-20 00:00:00,4112.70,4394.76,3956.03,4347.74,2842838528,35722121216,0.00
2008-03-27 00:00:00,4298.39,4298.39,4115.52,4119.78,2174819840,26990108672,0.00
2008-04-03 00:00:00,3469.78,3631.55,3392.08,3588.76,1893883904,19956525056,0.00
2008-04-11 00:00:00,3831.04,3898.51,3823.67,3862.36,1990794112,23420528640,0.00
2008-04-18 00:00:00,3483.86,3495.03,3333.11,3338.27,1673230720,16896724992,0.00
2008-04-25 00:00:00,3716.51,3873.33,3669.36,3756.33,4279201280,49480400896,0.00
2008-05-06 00:00:00,4015.55,4086.43,3969.97,4024.99,3984169984,49186951168,0.00
2008-05-13 00:00:00,3944.54,4107.59,3932.71,4078.88,4698103808,57631080448,0.00
2008-05-20 00:00:00,4070.80,4098.65,3792.15,3813.94,3128654592,37105557504,0.00
2008-05-27 00:00:00,3712.76,3752.96,3679.00,3743.54,2010865920,21947586560,0.00
2008-06-03 00:00:00,3789.04,3804.56,3741.41,3771.10,2260091648,25389289472,0.00
2008-06-11 00:00:00,3250.44,3270.85,3165.70,3226.92,2012634240,19510480896,0.00
2008-06-18 00:00:00,2767.80,2970.40,2684.67,2951.84,2635683328,22739107840,0.00
2008-06-25 00:00:00,2805.59,2966.90,2797.12,2966.90,2844975104,24575401984,0.00
2008-07-02 00:00:00,2768.72,2848.63,2754.69,2811.23,1725578496,16359597056,0.00
2008-07-09 00:00:00,3148.61,3226.20,3146.74,3226.15,4209814272,39152513024,0.00
2008-07-16 00:00:00,3072.41,3081.41,2893.36,2948.53,2760995584,25436663808,0.00
2008-07-23 00:00:00,3161.21,3180.18,3116.84,3122.69,2839507200,26330855424,0.00
2008-07-30 00:00:00,3184.23,3201.05,3105.96,3132.77,2232051712,20568379392,0.00
2008-08-06 00:00:00,2913.87,2941.40,2857.91,2904.19,1805600128,16413684736,0.00
2008-08-13 00:00:00,2454.89,2496.60,2369.38,2472.30,1779557376,13507610624,0.00
2008-08-20 00:00:00,2316.68,2521.08,2287.69,2520.74,2633075712,18578122752,0.00
2008-08-27 00:00:00,2230.15,2279.55,2180.94,2237.87,1613418752,10991634432,0.00
2008-09-03 00:00:00,2246.73,2268.38,2199.15,2237.28,1886648960,11834831872,0.00
2008-09-10 00:00:00,2044.03,2108.59,2025.67,2072.81,1534172288,9767176192,0.00
2008-09-18 00:00:00,1915.32,1938.82,1797.08,1899.32,2114782720,11577308160,0.00
2008-09-25 00:00:00,2091.39,2158.15,2086.08,2138.07,3483687424,22516951040,0.00
2008-10-09 00:00:00,2034.55,2042.80,1968.90,1969.82,1574933760,9647313920,0.00
2008-10-16 00:00:00,1741.12,1756.36,1703.24,1704.57,1765187072,9117302784,0.00
2008-10-23 00:00:00,1716.30,1766.59,1706.83,1766.59,1546669184,7884687872,0.00
2008-10-30 00:00:00,1585.52,1613.40,1565.72,1590.23,1659295872,7860685824,0.00
2008-11-06 00:00:00,1530.03,1542.76,1514.58,1536.60,1677552512,7472615936,0.00
2008-11-13 00:00:00,1686.07,1802.61,1680.77,1784.50,4750786560,23358005248,0.00
2008-11-20 00:00:00,1916.87,1990.30,1900.52,1948.68,5982260224,31237568512,0.00
2008-11-27 00:00:00,1961.97,1965.65,1860.99,1861.52,4753992192,24949452800,0.00
2008-12-04 00:00:00,2062.64,2110.67,2034.64,2037.72,7428473344,42039812096,0.00
2008-12-11 00:00:00,2195.48,2203.30,2125.85,2127.18,5162982400,31272501248,0.00
2008-12-18 00:00:00,2135.68,2176.46,2118.30,2175.36,4187199232,24748304384,0.00
2008-12-25 00:00:00,2015.96,2035.84,1966.54,2003.49,2818966528,15710038016,0.00
2009-01-05 00:00:00,1969.63,2020.24,1962.62,2020.24,2471822592,14270968832,0.00
2009-01-12 00:00:00,2105.15,2162.35,2100.04,2137.84,3801176832,23213021184,0.00
2009-01-19 00:00:00,2209.13,2221.24,2166.09,2192.81,4078084608,25413376000,0.00
2009-02-02 00:00:00,2258.51,2306.77,2245.26,2306.77,4270051328,25777293312,0.00
2009-02-09 00:00:00,2528.80,2580.75,2500.54,2579.23,9083410432,60635852800,0.00
2009-02-16 00:00:00,2833.29,2854.56,2777.42,2854.44,9069168640,65944506368,0.00
2009-02-23 00:00:00,2769.63,2878.49,2753.85,2871.79,7358042112,56054943744,0.00
2009-03-02 00:00:00,2385.84,2485.03,2382.02,2478.81,3733312000,26009579520,0.00
2009-03-09 00:00:00,2661.95,2692.75,2528.61,2536.01,5060505088,36123348992,0.00
2009-03-16 00:00:00,2563.02,2604.00,2539.91,2603.06,3129485312,22066728960,0.00
2009-03-23 00:00:00,2784.89,2846.63,2779.70,2843.88,7075225600,55202988032,0.00
2009-03-30 00:00:00,2880.53,2904.59,2866.86,2883.21,5737614848,44630593536,0.00
