open,high,low,close
10529,10655,10330,10594.5
10594.5,10688.5,10078,10323.5
10324,10330.5,9806,9843.5
9840.5,9919.5,9515.5,9770.5
9770.5,10187.5,9740,9882.5
9882.5,9919,9658.5,9843.5
9843.5,10293.5,9293,9471.5
9471.5,9590.5,9112,9531.5
9530.5,9717,9373.5,9496
9496,9759.5,9385,9586.5
9586.5,10124,9570,10094
10094,10489.5,9880.5,10408.5
10408.5,10668.5,10334,10532
10532,10921,10513.5,10821
10821,11088.5,10582.5,10979
10980,11959,10980,11808
11808,12319,11208,11465.5
11465.5,12146,11384,11972.5
11972.5,12066.5,11467,11985
11985,12036,11658.5,11866.5
11866.5,11983,11192,11278.5
11278.5,11584,11097,11538
11538,11557.5,11226.5,11391
11391,11443,10748,10860.5
10860.5,10862.5,9904.5,10022.5
10017.5,10446.5,9482.5,10297.5
10297.5,10542.5,9752.5,10358
10358,10474.5,9990.5,10218
10218,10510,10073,10318.5
10318.5,10937,10273,10924.5
10925.5,10955.5,10570.5,10766
10763.5,10804,9853,10128.5
10127.5,10235.5,9759,10112.5
10111.5,10466.5,10044,10413
10413,10434.5,9891.5,10148
10148,10360,9911.5,10140.5
10138,10660.5,10138,10363.5
10363.5,10379,10034,10176
10176,10281.5,9573.5,9718.5
9718.5,9718.5,9326,9493.5
9493.5,9698,9359.5,9582.5
9582.5,9696.5,9452,9603.5
9603.5,9836.5,9546,9773
9773,10473.5,9755,10386.5
10386.5,10777,10294,10635
10635,10824.5,10386.5,10583.5
10583.5,10662.5,10471,10579.5
10579.5,10944.5,10208,10316
10316,10577.5,10312.5,10487.5
10487.5,10596.5,10248.5,10409.5
10409.5,10534.5,10085,10308
10308,10390.5,9938.5,10099
10103.5,10280,9869,10161
10161,10466.5,10042,10432
10432,10457.5,10169,10370
10370,10453.5,10238,10358.5
10358.5,10378.5,10269,10304.5
10304.5,10374,10087,10269
10269,10276.5,10131,10187
10187,10257.5,10101,10154
10154,10356.5,9617,10268.5
10268.5,10306.5,10060.5,10159
10159,10160.5,9919,9973.5
9973.5,10080,9850,10030.5
10031.5,10047,9617,9689.5
9689.5,9774.5,8073.5,8532.5
8530.5,8742.5,8241,8426.5
8426,8459.5,7749,8067
8067,8289.5,7869.5,8194.5
8194.5,8335,8023.5,8218.5
8218.5,8241,7908,8056.5
8056.5,8348.5,7713,8302
8302,8527.5,8199.5,8324
8324,8390,8180.5,8383.5
8383.5,8412.5,8083.5,8247.5
8247.5,8250.5,8013,8160
8160,8201.5,8024.5,8147
8147,8169,7796.5,7862.5
7862.5,8305,7772,8205
8205.5,8339,8103,8174.5
8175,8694.5,8112.5,8585.5
8585.5,8649.5,8448,8587.5
8587.5,8804,8232.5,8263.5
8263.5,8406,8255,8305.5
8305.5,8463.5,8161,8282.5
8282.5,8393,8218,8354.5
8354.5,8415.5,8045,8162.5
8162.5,8174,7914,7993.5
7995,8125.5,7936,8072.5
8072.5,8117,7820.5,7952
7952,8095.5,7882.5,7962.5
7960.5,8309,7876.5,8234
8234,8337,8155,8210.5
8207.5,8309,8002.5,8025
8024.5,8049,7287,7470.5
7470,7511,7354.5,7426
7426,8715.5,7398.5,8666.5
8667,9909.5,8646.5,9259.5
9260,9817.5,9110,9553.5
9553,9940.5,9200,9220.5
9223,9564.5,9106.5,9435.5
9435.5,9435.5,8996.5,9168.5
9168.5,9431,8950,9152.5
9152.5,9300.5,9053.5,9250.5
9250.5,9386,9204,9300.5
9300.5,9376,9065,9196
9196,9580,9121.5,9407.5
9408,9479,9178,9313
9310,9448.5,9241.5,9335
9336,9365,9089,9202
9202,9245,8648.5,8759
8759,8873.5,8717.5,8805.5
8805.5,9469,8749,9028.5
9028.5,9064.5,8587,8713
8713,10000,8553.5,8812
8816.5,8830.5,8699.5,8761.5
8761.5,8786,8551.5,8628
8628,8777.5,8368,8452
8452,8527,8417.5,8480
8480,8629.5,8367.5,8499.5
8497.5,8497.5,8023,8173
8173,8200,7978,8124
8126,8213.5,8036,8082.5
8082.5,8113.5,7390,7616.5
7616.5,7732.5,6770.5,7277.5
7277.5,7350.5,7102,7322
7322,7340,6866,6902.5
6902.5,7375,6525,7124.5
7124.5,7334,7020,7163.5
7163.5,7674.5,6853,7525.5
7526,7653,7373,7430.5
7430.5,7863,7417,7757.5
7758,7819,7454.5,7551
7550,7550,7235.5,7398
7398.5,7422.5,7153,7301.5
7300.5,7406.5,7243,7296.5
7297,7765.5,7085.5,7195
7199.5,7484,7154.5,7391.5
7391,7597,7309.5,7542
7542.5,7636.5,7485.5,7501.5
7501.5,7572,7386.5,7522.5
7522.5,7644,7283,7330.5
7330.5,7380.5,7154.5,7219
7218.5,7265,7132,7200.5
7200.5,7284,7082.5,7187.5
7187.5,7299.5,7184,7250
7250.5,7266,7006,7064
7064,7201,7005.5,7112
7112,7132.5,6815,6877
6877,6931.5,6558.5,6616
6616,7454.5,6432.5,7284
7285.5,7367.5,7049,7151
7151,7220,7079,7187.5
7187.5,7188,7116,7143
7143,7518,7126.5,7512
7514.5,7689,7261,7312
7312,7425.5,7157.5,7253
7252.5,7262.5,7115.5,7190
7190,7424.5,7140,7190
7190,7248,7061.5,7244.5
7244.5,7343,7231.5,7298.5
7298.5,7516.5,7274.5,7380
7378,7378,7197.5,7218
7218,7294.5,7113.5,7164.5
7164.5,7229,7147,7171.5
7171,7178,6903.5,6941
6941,7397.5,6850,7335.5
7338,7395.5,7263.5,7347
7347,7490.5,7311.5,7350
7350,7806,7341,7764
7764,8213.5,7732,8156.5
8159.5,8463.5,7871,8044.5
8046.5,8047,7752,7815
7815.5,8192,7673.5,8192
8198,8285.5,8004.5,8022
8017.5,8191,7963,8178
8178,8188.5,8042.5,8108.5
8109.5,8894,8104,8818
8811.5,8898.5,8503,8811
8813.5,8848,8582,8714
8718.5,9011.5,8665,8900
8900,8980,8805,8910.5
8909.5,9187.5,8479.5,8699.5
8699.5,8735.5,8510.5,8629.5
