Open,High,Low,Close
2747.61,2769.93,2726.68,2760.01
2749.35,2781.97,2749.34,2778.11
2796.23,2844.72,2796.23,2844.72
2872.05,2873.59,2827.82,2831.02
2823.82,2860.94,2814.8,2858.42
2882.49,2882.96,2806.9,2809.73
2815.84,2843.67,2802.38,2843.07
2838.12,2853.17,2810.59,2818.61
2820.63,2842.31,2807.55,2836.33
2839.4,2874.38,2837.94,2872.8
2872.49,2903.03,2853.86,2895.33
2909.87,2940.23,2908.45,2929.76
2932.96,2942.28,2910,2930.45
2929.15,2930.93,2857.1,2859.09
2866.17,2894.35,2863.93,2892.42
2863.89,2863.89,2829.23,2836.16
2845.4,2862.15,2832.02,2854.06
2862.13,2882.4,2860.13,2875.32
2853.89,2855.74,2818.19,2849.49
2902.44,2935.13,2895.6,2935.05
2938.41,2951.23,2925.71,2951.23
2950.81,2976.08,2948.4,2976.08
2970.37,2987.94,2958.3,2976.12
2955.2,2957.5,2921.37,2937.33
2934.49,2942.99,2919.04,2931.77
2945.35,2953.47,2891.42,2902.33
2898.77,2905.51,2866.53,2887.98
2867.08,2876.32,2837.72,2866.19
2874.06,2913.28,2873.39,2908.47
2903.03,2910.2,2888.01,2896.94
2911.46,2916.61,2871.65,2910.04
2904.24,2951.3,2902.95,2942.6
2961.71,2976.22,2952.42,2965.9
2957.02,2957.02,2925.3,2925.3
2877.51,2898.05,2852.88,2890.15
2894.95,2896.56,2847.22,2862.99
2856.78,2870.22,2839.76,2854.24
2896.68,2905.57,2876.01,2893.25
2906.5,2961.87,2900.98,2958.09
2959.07,2970.3,2939.04,2945.84
2945.08,2959.62,2938.41,2939.52
2956.72,2958.28,2917.78,2920.21
2900.46,2934.65,2890.85,2909.77
2951.28,2977.41,2945.81,2967.9
2978.16,3000.24,2974.23,2989.91
3002.66,3028.61,3002.09,3015.86
3003.77,3018.9,3002.41,3011.25
3009.86,3022.69,3007.3,3018.64
3008.83,3020.86,3003.38,3020.86
3018.27,3023.03,2999.12,3022.52
3032.67,3034.16,3009.93,3016.98
3013.33,3032.06,3013.33,3030.93
3037.18,3067.44,3033.28,3062.39
3067.11,3076.72,3060.15,3076.59
